,IW15,IW35
MgO,1.0,1.0
Al2O3,0.04875542757613648,0.04875542757613648
CaO,0.07195131069806276,0.07195131069806276
FeO,0.3843923681457787,0.033603578974803656
NiO,0.0002788050345504631,1.3780032944357808e-05
SiO2,0.961551800579689,0.9152979301190551
Fe,0.4503716655143242,0.8011604546852993
Ni,0.04614205314389964,0.046407078145505744
Si,0.00024003175350182182,0.046493902214135754
O,0.027392976916529043,0.004065595598578419
core,0.17361441204344052,0.31393640175428156
