,i,a,e,inc,m_e,EF,EC,OC,CI,EF_ratio,EC_ratio,OC_ratio,CI_ratio,P,T,MgO,Al2O3,CaO,FeO,NiO,SiO2,Fe,Ni,Si,O
0,6170,1.8854257620344528,0.0551450432702075,0.0260602284785202,0.00021463802863802865,0.0,0.0,0.00021463802863802865,0.0,0.0,0.0,1.0,0.0,0.3940523374891775,1895.5733195773523,0.3504756310957839,0.012645687299684922,0.01875633381928736,0.17035368470270423,0.0002059793580776998,0.372604616644436,0.06261183056247052,0.01233687329614877,9.363221406599731e-06,0.004308618372264594
1,5974,1.3285771169905412,0.1361992216837524,0.1250764330378001,0.0003670296370296371,0.0,0.0,0.0003670296370296371,0.0,0.0,0.0,1.0,0.0,0.4111293411255411,1896.4961330129256,0.3504756310957839,0.012645687299684922,0.01875633381928736,0.1703693802486793,0.00020729072450116837,0.3726046382913942,0.06259613501649547,0.012335561929725302,9.341574448429313e-06,0.004291568165949555
2,5069,2.733345655588821,0.1740278327345959,0.0359800551713633,0.0003958574758574759,0.0,0.0,0.0,0.0003958574758574759,0.0,0.0,0.0,1.0,0.41435978874458873,1896.670588531938,0.33808126467938193,0.013407793819400984,0.019576751193023625,0.28067873836082063,0.0042471303205314104,0.328081643089536,0.004619122372155837,0.011307512517832217,4.364731726047566e-08,0.015926722184622655
3,6279,2.010899421959811,0.1109849452502413,0.0496940693865675,0.0004014718614718615,0.0,0.0,0.0004014718614718615,0.0,0.0,0.0,1.0,0.0,0.4149889367965368,1896.7045605697176,0.3504756310957839,0.012645687299684922,0.01875633381928736,0.17037291525798343,0.0002075879616237662,0.3726046431815837,0.06259260000719133,0.012335264692602705,9.33668425889822e-06,0.004287726139143744
4,5550,2.8655010205811724,0.3646559192191687,0.3603324149369006,0.0004017182817182817,0.0,0.0,0.0,0.0004017182817182817,0.0,0.0,0.0,1.0,0.4150165506493506,1896.7060516007532,0.33808126467938193,0.013407793819400984,0.019576751193023625,0.2806803149075475,0.0042489266584726905,0.3280816431139226,0.004617545825428948,0.011305716179890936,4.3622930656628256e-08,0.015923349251181218
5,5694,3.1389290337289166,0.0842707599035111,0.2481264445704003,0.00040301365301365305,0.0,0.0,0.0,0.00040301365301365305,0.0,0.0,0.0,1.0,0.41516170995671,1896.7138895451894,0.33808126467938193,0.013407793819400984,0.019576751193023625,0.280680663332953,0.004249323779030857,0.3280816431193073,0.004617197400023476,0.011305319059332769,4.361754596393652e-08,0.0159226036944482
6,5374,1.7331034483016978,0.0190415852699249,0.0635794661062671,0.0004054412254412254,0.0,0.0,0.0004054412254412254,0.0,0.0,0.0,1.0,0.0,0.4154337437229437,1896.728577940403,0.3504756310957839,0.012645687299684922,0.01875633381928736,0.17037332236493127,0.0002076222375651869,0.37260464374510877,0.06259219290024348,0.012335230416661283,9.336120733838271e-06,0.004287283629204386
7,3337,1.3368840025526447,0.138768591281965,0.0843656032493619,0.00041115884115884116,0.0,0.00041115884115884116,0.0,0.0,0.0,1.0,0.0,0.0,0.41607445974025975,1896.7631722381075,0.30544261328835104,0.010192697537748036,0.014472362178626647,0.00685390325986578,2.4739222311827728e-06,0.35981567891120964,0.26759209350392954,0.015616248849185178,0.020011928548852975,0.0006584672471414699
8,6196,3.1311720173861013,0.2693653604317927,0.0179205136882332,0.00041766233766233767,0.0,0.0,0.0,0.00041766233766233767,0.0,0.0,0.0,1.0,0.41680324155844156,1896.8025197762,0.33808126467938193,0.013407793819400984,0.019576751193023625,0.2806846028023089,0.004253816849715033,0.32808164318020805,0.00461325793066758,0.011300825988648594,4.355664523503222e-08,0.015914171032606617
9,6642,1.513004361445278,0.1615334293653488,0.0421791523205544,0.0004207625707625708,0.0,0.0,0.0004207625707625708,0.0,0.0,0.0,1.0,0.0,0.4171506536796537,1896.8212762047938,0.3504756310957839,0.012645687299684922,0.01875633381928736,0.17037489319149218,0.0002077545785147834,0.3726046459201556,0.06259062207368257,0.012335098075711686,9.333945687028944e-06,0.004285576111600298
