,i,a,e,inc,m_e,EF,EC,OC,CI,EF_ratio,EC_ratio,OC_ratio,CI_ratio,P,T,MgO,Al2O3,CaO,FeO,NiO,SiO2,Fe,Ni,Si,O
32,6911,1.7792027758473044,0.051340976260865,0.0504490868650637,0.0005172427572427573,0.0,0.0,0.0005172427572427573,0.0,0.0,0.0,1.0,0.0,0.4279622233766234,1897.4047749177737,0.00018128098177437873,6.540890166118748e-06,9.70157782045377e-06,8.81302850842773e-05,1.0789134426236284e-07,0.0001927270614996232,3.2369440373961365e-05,6.3798083462993735e-06,4.820833382501461e-09,2.2111316812855144e-06
33,3770,1.5023784965696796,0.0954666958640716,0.0510061730210141,0.0005188911088911089,0.0,0.0005188911088911089,0.0,0.0,0.0,1.0,0.0,0.0,0.42814693766233763,1897.4147404343453,0.00015849145631179062,5.288900127953754e-06,7.509580059141325e-06,3.554170230729455e-06,1.2884037569756993e-09,0.00018670681013842702,0.00013885341736076198,8.103127974566073e-06,1.038235828398169e-05,3.406203009808143e-07
34,6848,1.4312671283584295,0.0262012790033631,0.139689049326976,0.0005196003996003996,0.0,0.0,0.0005196003996003996,0.0,0.0,0.0,1.0,0.0,0.4282264207792208,1897.4190285903064,0.00018210727796757155,6.570704174137983e-06,9.745798547540202e-06,8.853211667461037e-05,1.0839373983978677e-07,0.00019360553020162223,3.2516858150287415e-05,6.40887751142522e-06,4.842633364839435e-09,2.221074014757164e-06
35,6000,2.6692924743990742,0.0785280815815639,0.0291329780757043,0.0005221944721944722,0.0,0.0,0.0005221944721944722,0.0,0.0,0.0,1.0,0.0,0.42851711255411257,1897.4347113798879,0.00018301643719708744,6.603508004995309e-06,9.794453839066093e-06,8.897424580745725e-05,1.0894662718436417e-07,0.0001945720939305723,3.2679058475953954e-05,6.440861694402462e-06,4.866617753072509e-09,2.2320124046222665e-06
36,6649,1.7843016633401383,0.1085056231969973,0.1619967945953882,0.0005279254079254079,0.0,0.0,0.0005279254079254079,0.0,0.0,0.0,1.0,0.0,0.4291593212121212,1897.469357439418,0.00018502499051415648,6.675979626183313e-06,9.901945182732404e-06,8.995102189720592e-05,1.1016850962416011e-07,0.00019670746772117983,3.30373927817143e-05,6.511522094406634e-06,4.919598204858192e-09,2.256171961300031e-06
37,6065,1.8326844532180084,0.0890200612458292,0.0501140194528234,0.0005302264402264402,0.0,0.0,0.0005302264402264402,0.0,0.0,0.0,1.0,0.0,0.4294171748917749,1897.4832678066875,0.00018583144626203258,6.705077761128642e-06,9.94510411269953e-06,9.034321012297476e-05,1.1065927120865247e-07,0.00019756484325510564,3.3181265731597255e-05,6.539892841926606e-06,4.940867766545188e-09,2.265869989224751e-06
38,5124,1.6782675571465275,0.1969886907213178,0.1072451581824353,0.0005302530802530803,0.0,0.0,0.0005302530802530803,0.0,0.0,0.0,1.0,0.0,0.4294201601731602,1897.4834288515722,0.00018584078294218165,6.705414642575187e-06,9.945603781932145e-06,9.034775039103979e-05,1.1066495230565003e-07,0.00019757476945517533,3.318293167106512e-05,6.5402213027584605e-06,4.941114046944691e-09,2.2659825294530267e-06
39,5099,1.1563264517158467,0.053680119336472,0.0375479054168,0.0005311555111555112,0.0,0.0,0.0005311555111555112,0.0,0.0,0.0,1.0,0.0,0.4295212865800866,1897.4888842289824,0.00018615706298223146,6.716826501576901e-06,9.962530077186979e-06,9.050156103981624e-05,1.108574470751623e-07,0.0001979110194840783,3.32393563024647e-05,6.551347865828759e-06,4.949455252681876e-09,2.2697857109204266e-06
40,5480,2.054673316794896,0.1332961748167663,0.0753228532589422,0.0005336663336663337,0.0,0.0,0.0005336663336663337,0.0,0.0,0.0,1.0,0.0,0.4298026493506494,1897.5040624745407,0.0001870370450862815,6.748577577913773e-06,1.0009623902360947e-05,9.092950745210926e-05,1.1139309806024249e-07,0.00019884656384616494,3.3396344950144854e-05,6.582305091637841e-06,4.972661660397485e-09,2.2803662616453736e-06
41,5485,1.5661186477600504,0.276931699460267,0.0827305236338514,0.0005338228438228438,0.0,0.0,0.0005338228438228438,0.0,0.0,0.0,1.0,0.0,0.4298201878787879,1897.5050085896094,0.00018709189808215727,6.7505567564122235e-06,1.001255945910256e-05,9.095618296278948e-05,1.1142649003460587e-07,0.00019890488027193964,3.3406130908720236e-05,6.584234783495473e-06,4.974108192337939e-09,2.28102598342849e-06
