a_1,m_1,Time
1.4999999999999996,0.1,0.0
1.486298573608202,0.1,0.01
1.4729537989439512,0.1,0.02
1.4599595173024589,0.1,0.03
1.4473093734562923,0.1,0.04
1.4349968426142827,0.1,0.05
1.4230152565340903,0.1,0.06
1.411357828587375,0.1,0.07
1.4000176777229196,0.1,0.08
1.3889878512349139,0.1,0.09
1.3782613462890356,0.1,0.1
1.3678311301557171,0.1,0.11
1.3576901591369095,0.1,0.12
1.3478313961655106,0.1,0.13
1.3382478270896752,0.1,0.14
1.3289324756355907,0.1,0.15
1.319878417122585,0.1,0.16
1.3110787908899988,0.1,0.17
1.3025268115376292,0.1,0.18
1.2942157789939075,0.1,0.19
1.2861390874840914,0.1,0.2
1.27829023341965,0.1,0.21
1.2706628222994645,0.1,0.22
1.2632505746596605,0.1,0.23
1.2560473311412632,0.1,0.24
1.2490470567301974,0.1,0.25
1.2422438442265995,0.1,0.26
1.2356319170028465,0.1,0.27
1.229205631109378,0.1,0.28
1.2229594767814984,0.1,0.29
1.2168880793896892,0.1,0.3
1.2109861998980127,0.1,0.31
1.2052487348717116,0.1,0.32
1.1996707160728004,0.1,0.33
1.1942473096962907,0.1,0.34
1.1889738152813663,0.1,0.35
1.1838456643382311,0.1,0.36
1.1788584187170787,0.1,0.37
1.1740077687602928,0.1,0.38
1.1692895312641136,0.1,0.39
1.1646996472783786,0.1,0.4
1.1602341797663855,0.1,0.41
1.155889311148873,0.1,0.42
1.1516613407572296,0.1,0.43
1.1475466822068159,0.1,0.44
1.1435418607211183,0.1,0.45
1.1396435104009597,0.1,0.46
1.135848371475435,0.1,0.47
1.1321532875360987,0.1,0.48
1.1285552027610923,0.1,0.49
1.1250511591479022,0.1,0.5
1.1216382937610963,0.1,0.51
1.1183138360016138,0.1,0.52
1.115075104896578,0.1,0.53
1.1119195064435379,0.1,0.54
1.1088445309693906,0.1,0.55
1.1058477505453714,0.1,0.56
1.102926816452482,0.1,0.57
1.1000794566890708,0.1,0.58
1.0973034735379716,0.1,0.59
1.0945967411816555,0.1,0.6
1.0919572033782428,0.1,0.61
1.0893828711945948,0.1,0.62
1.0868718207954056,0.1,0.63
1.0844221912919996,0.1,0.64
1.0820321826536412,0.1,0.65
1.0797000536691033,0.1,0.66
1.077424119975802,0.1,0.67
1.0752027521418093,0.1,0.68
1.073034373810244,0.1,0.69
1.0709174598923987,0.1,0.7
1.0688505348286783,0.1,0.71
1.0668321708938953,0.1,0.72
1.0648609865610936,0.1,0.73
1.062935644921242,0.1,0.74
1.0610548521507208,0.1,0.75
1.059217356031784,0.1,0.76
1.0574219445167288,0.1,0.77
1.0556674443562049,0.1,0.78
1.0539527197513885,0.1,0.79
1.0522766710728737,0.1,0.8
1.0506382336106437,0.1,0.81
1.0490363763736792,0.1,0.82
1.0474701009284555,0.1,0.83
1.0459384402808187,0.1,0.84
1.0444404577901512,0.1,0.85
1.042975246135011,0.1,0.86
1.0415419263018657,0.1,0.87
1.0401396466161383,0.1,0.88
1.038767581806716,0.1,0.89
1.0374249321026796,0.1,0.9
1.0361109223662543,0.1,0.91
1.034824801249549,0.1,0.92
1.0335658403897288,0.1,0.93
1.0323333336291578,0.1,0.94
1.031126596255296,0.1,0.95
1.0299449642905407,0.1,0.96
1.0287877937779883,0.1,0.97
1.027654460117233,0.1,0.98
1.026544357408636,0.1,0.99
1.0254568978325973,0.1,1.0
1.024391511041359,0.1,1.01
1.0233476435783666,0.1,1.02
1.0223247583165285,0.1,1.03
1.0213223339175324,0.1,1.04
1.0203398643074664,0.1,1.05
1.0193768581759923,0.1,1.06
1.0184328384897223,0.1,1.07
1.0175073420251417,0.1,1.08
1.016599918916402,0.1,1.09
1.0157101322196975,0.1,1.1
1.0148375574935966,0.1,1.11
1.0139817823947943,0.1,1.12
1.0131424062855263,0.1,1.13
1.0123190398581652,0.1,1.14
1.0115113047700774,0.1,1.15
1.0107188332955384,0.1,1.16
1.0099412679836324,0.1,1.17
1.0091782613333848,0.1,1.18
1.0084294754791499,0.1,1.19
1.0076945818843874,0.1,1.2
1.0069732610492088,0.1,1.21
1.0062652022253231,0.1,1.22
1.00557010314365,0.1,1.23
1.0048876697493767,0.1,1.24
1.0042176159483156,0.1,1.25
1.0035596633579276,0.1,1.26
1.0029135410716532,0.1,1.27
1.0022789854263234,0.1,1.28
1.0016557397825132,0.1,1.29
1.0010435543090839,0.1,1.3
1.0004421857768975,0.1,1.31
0.9998513973552924,0.1,1.32
0.9992709584228964,0.1,1.33
0.998700644378984,0.1,1.34
0.9981402364620096,0.1,1.35
0.9975895215747002,0.1,1.36
0.9970482921176966,0.1,1.37
0.9965163458224924,0.1,1.38
0.9959934855976776,0.1,1.39
0.995479519373546,0.1,1.4
0.9949742599541074,0.1,1.41
0.9944775248763698,0.1,1.42
0.9939891362710244,0.1,1.43
0.9935089207293226,0.1,1.44
0.993036709173819,0.1,1.45
0.9925723367328088,0.1,1.46
0.9921156426198096,0.1,1.47
0.9916664700154264,0.1,1.48
0.9912246659558592,0.1,1.49
0.9907900812216148,0.1,1.5
0.9903625702322983,0.1,1.51
0.9899419909443644,0.1,1.52
0.9895282047488068,0.1,1.53
0.989121076378192,0.1,1.54
0.9887204738101628,0.1,1.55
0.9883262681782242,0.1,1.56
0.987938333685416,0.1,1.57
0.9875565475165496,0.1,1.58
0.9871807897594472,0.1,1.59
0.986810943324614,0.1,1.6
0.9864468938643222,0.1,1.61
0.9860885297014624,0.1,1.62
0.9857357417561016,0.1,1.63
0.985388423474838,0.1,1.64
0.9850464707623348,0.1,1.65
0.9847097819176616,0.1,1.66
0.9843782575643208,0.1,1.67
0.984051800596338,0.1,1.68
0.9837303161112833,0.1,1.69
0.9834137113559002,0.1,1.7
0.9831018956649796,0.1,1.71
0.9827947804123052,0.1,1.72
0.9824922789512968,0.1,1.73
0.9821943065679112,0.1,1.74
0.9819007804276744,0.1,1.75
0.9816116195273232,0.1,1.76
0.9813267446481628,0.1,1.77
0.9810460783094948,0.1,1.78
0.980769544724073,0.1,1.79
0.9804970697556404,0.1,1.8
0.9802285808758598,0.1,1.81
0.9799640071230276,0.1,1.82
0.9797032790634096,0.1,1.83
0.9794463287522296,0.1,1.84
0.9791930896976386,0.1,1.85
0.9789434968219656,0.1,1.86
0.9786974864279558,0.1,1.87
0.9784549961620918,0.1,1.88
0.9782159649855788,0.1,1.89
0.9779803331397934,0.1,1.9
0.9777480421132246,0.1,1.91
0.9775190346128284,0.1,1.92
0.9772932545333364,0.1,1.93
0.977070646928492,0.1,1.94
0.9768511579826388,0.1,1.95
0.9766347349836157,0.1,1.96
0.9764213262959106,0.1,1.97
0.9762108813362276,0.1,1.98
0.976003350547337,0.1,1.99
0.9757986853723924,0.1,2.0
0.9755968382324416,0.1,2.01
0.9753977625029504,0.1,2.02
0.9752014124921012,0.1,2.03
0.9750077434164202,0.1,2.04
0.974816711383065,0.1,2.05
0.974628273365655,0.1,2.06
0.9744423871841436,0.1,2.07
0.9742590114877911,0.1,2.08
0.9740781057362484,0.1,2.09
0.973899630178206,0.1,2.1
0.9737235458328912,0.1,2.11
0.9735498144754277,0.1,2.12
0.9733783986158824,0.1,2.13
0.9732092614870388,0.1,2.14
0.973042367024948,0.1,2.15
0.972877679853133,0.1,2.16
0.9727151652680294,0.1,2.17
0.9725547892228434,0.1,2.18
0.972396518315363,0.1,2.19
0.9722403197701314,0.1,2.2
0.9720861614268516,0.1,2.21
0.9719340117247272,0.1,2.22
0.9717838396917432,0.1,2.23
0.9716356149300344,0.1,2.24
0.9714893076032955,0.1,2.25
0.9713448884259676,0.1,2.26
0.9712023286495948,0.1,2.27
0.9710616000513802,0.1,2.28
0.9709226749253744,0.1,2.29
0.9707855260665452,0.1,2.3
0.9706501267637851,0.1,2.31
0.970516450787711,0.1,2.32
0.9703844723808271,0.1,2.33
0.9702541662486128,0.1,2.34
0.9701255075465518,0.1,2.35
0.9699984718745596,0.1,2.36
0.9698730352649056,0.1,2.37
0.9697491741734172,0.1,2.38
0.9696268654707192,0.1,2.39
0.9695060864355252,0.1,2.4
0.969386814742764,0.1,2.41
0.969269028458476,0.1,2.42
0.969152706030001,0.1,2.43
0.969037826278176,0.1,2.44
0.968924368390109,0.1,2.45
0.968812311911145,0.1,2.46
0.9687016367381068,0.1,2.47
0.9685923231131426,0.1,2.48
0.9684843516137638,0.1,2.49
0.9683777031493096,0.1,2.5
0.9682723589513186,0.1,2.51
0.9681683005695824,0.1,2.52
0.9680655098650212,0.1,2.53
0.9679639690019768,0.1,2.54
0.9678636604445368,0.1,2.55
0.9677645669484132,0.1,2.56
0.9676666715568296,0.1,2.57
0.9675699575939064,0.1,2.58
0.9674744086593944,0.1,2.59
0.967380008623,0.1,2.6
0.9672867416205572,0.1,2.61
0.9671945920464204,0.1,2.62
0.9671035445504834,0.1,2.63
0.967013584032233,0.1,2.64
0.966924695635696,0.1,2.65
0.9668368647458112,0.1,2.66
0.9667500769834068,0.1,2.67
0.966664318199718,0.1,2.68
0.966579574473125,0.1,2.69
0.966495832104258,0.1,2.7
0.9664130776128524,0.1,2.71
0.9663312977323776,0.1,2.72
0.9662504794056088,0.1,2.73
0.9661706097822758,0.1,2.74
0.9660916762146258,0.1,2.75
0.966013666251713,0.1,2.76
0.9659365676404374,0.1,2.77
0.965860368317582,0.1,2.78
0.9657850564061016,0.1,2.79
0.9657106202151252,0.1,2.8
0.965637048232524,0.1,2.81
0.9655643291262817,0.1,2.82
0.9654924517367824,0.1,2.83
0.965421405076886,0.1,2.84
0.9653511783259172,0.1,2.85
0.965281760829902,0.1,2.86
0.9652131420956408,0.1,2.87
0.9651453117896756,0.1,2.88
0.9650782597339977,0.1,2.89
0.9650119759051106,0.1,2.9
0.9649464504293868,0.1,2.91
0.9648816735812652,0.1,2.92
0.9648176357807352,0.1,2.93
0.964754327590256,0.1,2.94
0.9646917397132152,0.1,2.95
0.964629862991072,0.1,2.96
0.9645686884005537,0.1,2.97
0.9645082070507132,0.1,2.98
0.96444841018123,0.1,2.99
0.9643892891622537,0.1,3.0
0.9643308354888154,0.1,3.01
0.9642730407787888,0.1,3.02
0.9642158967742344,0.1,3.03
0.9641593953356123,0.1,3.04
0.9641035284419656,0.1,3.05
0.964048288186632,0.1,3.06
0.963993666779058,0.1,3.07
0.9639396565381104,0.1,3.08
0.9638862498947997,0.1,3.09
0.9638334393870026,0.1,3.1
0.9637812176591753,0.1,3.11
0.9637295774613392,0.1,3.12
0.9636785116446556,0.1,3.13
0.963628013161994,0.1,3.14
0.9635780750655788,0.1,3.15
0.9635286905060176,0.1,3.16
0.9634798527291633,0.1,3.17
0.9634315550760988,0.1,3.18
0.9633837909800808,0.1,3.19
0.9633365539669316,0.1,3.2
0.9632898376520032,0.1,3.21
0.9632436357385464,0.1,3.22
0.9631979420176708,0.1,3.23
0.9631527503653295,0.1,3.24
0.9631080547421348,0.1,3.25
0.9630638491924324,0.1,3.26
0.9630201278402531,0.1,3.27
0.9629768848912784,0.1,3.28
0.962934114629971,0.1,3.29
0.9628918114184402,0.1,3.3
0.9628499696952884,0.1,3.31
0.962808583973784,0.1,3.32
0.9627676488428366,0.1,3.33
0.962727158962246,0.1,3.34
0.9626871090650982,0.1,3.35
0.9626474939544376,0.1,3.36
0.962608308503146,0.1,3.37
0.9625695476520691,0.1,3.38
0.9625312064102682,0.1,3.39
0.9624932798519596,0.1,3.4
0.9624557631177542,0.1,3.41
0.962418651412387,0.1,3.42
0.9623819400030736,0.1,3.43
0.9623456242202612,0.1,3.44
0.9623096994551276,0.1,3.45
0.962274161159672,0.1,3.46
0.9622390048454552,0.1,3.47
0.9622042260823056,0.1,3.48
0.9621698204985636,0.1,3.49
0.962135783778078,0.1,3.5
0.962102111661937,0.1,3.51
0.9620687999452612,0.1,3.52
0.9620358444794644,0.1,3.53
0.9620032411683626,0.1,3.54
0.9619709859669684,0.1,3.55
0.9619390748842376,0.1,3.56
0.9619075039791012,0.1,3.57
0.9618762693614215,0.1,3.58
0.9618453671903622,0.1,3.59
0.9618147936745792,0.1,3.6
0.9617845450698908,0.1,3.61
0.9617546176809214,0.1,3.62
0.9617250078586522,0.1,3.63
0.961695712000171,0.1,3.64
0.9616667265475964,0.1,3.65
0.9616380479887616,0.1,3.66
0.9616096728537854,0.1,3.67
0.9615815977187044,0.1,3.68
0.9615538192006066,0.1,3.69
0.961526333959376,0.1,3.7
0.9614991386970412,0.1,3.71
0.9614722301554988,0.1,3.72
0.9614456051182668,0.1,3.73
0.9614192604083096,0.1,3.74
0.9613931928880262,0.1,3.75
0.9613673994584832,0.1,3.76
0.9613418770585666,0.1,3.77
0.9613166226653542,0.1,3.78
0.9612916332928712,0.1,3.79
0.9612669059920916,0.1,3.8
0.9612424378496914,0.1,3.81
0.9612182259878596,0.1,3.82
0.9611942675647952,0.1,3.83
0.9611705597719908,0.1,3.84
0.9611470998362768,0.1,3.85
0.9611238850165806,0.1,3.86
0.96110091260703,0.1,3.87
0.9610781799326928,0.1,3.88
0.9610556843521908,0.1,3.89
0.9610334232553536,0.1,3.9
0.9610113940641803,0.1,3.91
0.9609895942311965,0.1,3.92
0.9609680212388768,0.1,3.93
0.960946672600218,0.1,3.94
0.96092554585777,0.1,3.95
0.9609046385846646,0.1,3.96
0.9608839483810244,0.1,3.97
0.9608634728778936,0.1,3.98
0.9608432097320544,0.1,3.99
0.960823156629834,0.1,4.0
