a_1,m_1,Time
0.4999999999999998,1.0,0.0
0.5019426078911488,1.0,0.01
0.5037915980228996,1.0,0.02
0.505550528639175,1.0,0.03
0.5072229334952333,1.0,0.04
0.5088124096610032,1.0,0.05
0.5103225063371011,1.0,0.06
0.5117566901480328,1.0,0.07
0.5131183612083523,1.0,0.08
0.514410955339893,1.0,0.09
0.5156376904042496,1.0,0.1
0.5168016877284737,1.0,0.11
0.5179060764730172,1.0,0.12
0.5189538197506179,1.0,0.13
0.5199477341562616,1.0,0.14
0.5208905288000301,1.0,0.15
0.5217849147472465,1.0,0.16
0.5226333527305854,1.0,0.17
0.5234381970433016,1.0,0.18
0.524201797459626,1.0,0.19
0.5249263374184063,1.0,0.2
0.5256138624870759,1.0,0.21
0.5262663210493917,1.0,0.22
0.5268856668091524,1.0,0.23
0.5274736326736864,1.0,0.24
0.5280318653941211,1.0,0.25
0.5285620179713061,1.0,0.26
0.529065606141975,1.0,0.27
0.5295440360998315,1.0,0.28
0.5299986413922851,1.0,0.29
0.5304307743622932,1.0,0.3
0.5308416065074272,1.0,0.31
0.5312322481955384,1.0,0.32
0.5316038298713436,1.0,0.33
0.531957375567731,1.0,0.34
0.5322938275083032,1.0,0.35
0.5326140780957556,1.0,0.36
0.5329190499674387,1.0,0.37
0.5332095204100512,1.0,0.38
0.5334862261121084,1.0,0.39
0.5337499337161205,1.0,0.4
0.5340013285725907,1.0,0.41
0.5342410359565185,1.0,0.42
0.5344696484363491,1.0,0.43
0.5346877954963707,1.0,0.44
0.5348959894654249,1.0,0.45
0.5350947167000261,1.0,0.46
0.5352844986848968,1.0,0.47
0.5354657943871425,1.0,0.48
0.5356390184248828,1.0,0.49
0.5358045644503672,1.0,0.5
0.5359628655951126,1.0,0.51
0.5361142595229935,1.0,0.52
0.5362590676951096,1.0,0.53
0.5363976482828403,1.0,0.54
0.5365303106169687,1.0,0.55
0.5366573307566777,1.0,0.56
0.5367789715168104,1.0,0.57
0.5368955349529189,1.0,0.58
0.537007244332645,1.0,0.59
0.5371143130376587,1.0,0.6
0.5372169904331131,1.0,0.61
0.5373154870236052,1.0,0.62
0.5374099878335862,1.0,0.63
0.5375006696219689,1.0,0.64
0.5375877464778887,1.0,0.65
0.5376713667061964,1.0,0.66
0.5377516727408606,1.0,0.67
0.5378288409491643,1.0,0.68
0.537903016235362,1.0,0.69
0.5379743235720728,1.0,0.7
0.5380428828440472,1.0,0.71
0.53810884848669,1.0,0.72
0.5381723194696275,1.0,0.73
0.5382333914173774,1.0,0.74
0.5382921911846095,1.0,0.75
0.5383488197577608,1.0,0.76
0.5384033622249998,1.0,0.77
0.5384559006048689,1.0,0.78
0.5385065483255436,1.0,0.79
0.5385553716882829,1.0,0.8
0.5386024352240107,1.0,0.81
0.5386478317485572,1.0,0.82
0.5386916325417321,1.0,0.83
0.5387338959816471,1.0,0.84
0.5387746786570032,1.0,0.85
0.5388140653689165,1.0,0.86
0.5388521006389486,1.0,0.87
0.5388888281898881,1.0,0.88
0.5389243170871468,1.0,0.89
0.5389586182852436,1.0,0.9
0.5389917721192444,1.0,0.91
0.5390238179418199,1.0,0.92
0.5390548202391954,1.0,0.93
0.5390848089151533,1.0,0.94
0.5391138136654668,1.0,0.95
0.5391418867218507,1.0,0.96
0.5391690649678065,1.0,0.97
0.5391953764429603,1.0,0.98
0.5392208487111835,1.0,0.99
0.5392455315966671,1.0,1.0
0.5392694451334685,1.0,1.01
0.5392926094959288,1.0,1.02
0.5393150647958646,1.0,1.03
0.5393368380574786,1.0,1.04
0.5393579488712003,1.0,1.05
0.5393784166658268,1.0,1.06
0.5393982805056535,1.0,1.07
0.5394175537268816,1.0,1.08
0.539436250003669,1.0,1.09
0.5394544005811134,1.0,1.1
0.5394720254940026,1.0,1.11
0.5394891384816176,1.0,1.12
0.5395057533121936,1.0,1.13
0.5395219010234413,1.0,1.14
0.5395375903901162,1.0,1.15
0.5395528306270944,1.0,1.16
0.5395676463926328,1.0,1.17
0.539582052707437,1.0,1.18
0.539596059231676,1.0,1.19
0.5396096757649071,1.0,1.2
0.5396229272617264,1.0,1.21
0.539635819385587,1.0,1.22
0.5396483582811666,1.0,1.23
0.5396605636407829,1.0,1.24
0.5396724468481927,1.0,1.25
0.539684014701238,1.0,1.26
0.5396952741977175,1.0,1.27
0.539706245614154,1.0,1.28
0.5397169324916103,1.0,1.29
0.5397273388586414,1.0,1.3
0.5397374806090315,1.0,1.31
0.5397473664596893,1.0,1.32
0.5397570011904242,1.0,1.33
0.5397663898092662,1.0,1.34
0.5397755489448391,1.0,1.35
0.5397844806947103,1.0,1.36
0.5397931876290162,1.0,1.37
0.5398016826982021,1.0,1.38
0.5398099726425803,1.0,1.39
0.5398180608133908,1.0,1.4
0.539825950798497,1.0,1.41
0.5398336563445605,1.0,1.42
0.5398411785757912,1.0,1.43
0.5398485190587201,1.0,1.44
0.5398556884343186,1.0,1.45
0.5398626919639201,1.0,1.46
0.5398695319845429,1.0,1.47
0.5398762110654904,1.0,1.48
0.5398827406515321,1.0,1.49
0.539889121215777,1.0,1.5
0.5398953536397089,1.0,1.51
0.5399014467329182,1.0,1.52
0.5399074046375496,1.0,1.53
0.5399132289693437,1.0,1.54
0.5399189215654013,1.0,1.55
0.5399244920122829,1.0,1.56
0.5399299403560188,1.0,1.57
0.5399352670151457,1.0,1.58
0.5399404793294202,1.0,1.59
0.5399455805883234,1.0,1.6
0.5399505718945086,1.0,1.61
0.5399554545568653,1.0,1.62
0.5399602366484497,1.0,1.63
0.5399649179430039,1.0,1.64
0.5399694985503181,1.0,1.65
0.5399739846218213,1.0,1.66
0.5399783787899307,1.0,1.67
0.5399826817934726,1.0,1.68
0.5399868945599962,1.0,1.69
0.5399910239186116,1.0,1.7
0.5399950694778586,1.0,1.71
0.5399990311477195,1.0,1.72
0.5400029141084862,1.0,1.73
0.5400067204839292,1.0,1.74
0.5400104507543115,1.0,1.75
0.5400141055719623,1.0,1.76
0.5400176907371851,1.0,1.77
0.5400212057660012,1.0,1.78
0.5400246504442053,1.0,1.79
0.5400280291536015,1.0,1.8
0.5400313436192479,1.0,1.81
0.5400345941400791,1.0,1.82
0.5400377811698993,1.0,1.83
0.5400409096520328,1.0,1.84
0.5400439790604391,1.0,1.85
0.5400469891077079,1.0,1.86
0.5400499435150558,1.0,1.87
0.54005284369321,1.0,1.88
0.5400556898148581,1.0,1.89
0.5400584821909356,1.0,1.9
0.5400612250467891,1.0,1.91
0.5400639178466085,1.0,1.92
0.5400665602666395,1.0,1.93
0.5400691554776912,1.0,1.94
0.5400717046408678,1.0,1.95
0.5400742078417734,1.0,1.96
0.5400766652887387,1.0,1.97
0.5400790806034059,1.0,1.98
0.5400814532627022,1.0,1.99
0.5400837829292572,1.0,2.0
0.5400860723136539,1.0,2.01
0.5400883223771163,1.0,2.02
0.5400905331460562,1.0,2.03
0.540092704756881,1.0,2.04
0.5400948403205043,1.0,2.05
0.5400969393391655,1.0,2.06
0.5400990014785944,1.0,2.07
0.5401010290619662,1.0,2.08
0.540103022889865,1.0,2.09
0.5401049829503016,1.0,2.1
0.5401069093275492,1.0,2.11
0.5401088047005329,1.0,2.12
0.5401106686040197,1.0,2.13
0.5401125007180639,1.0,2.14
0.5401143030376871,1.0,2.15
0.5401160762334227,1.0,2.16
0.5401178202689639,1.0,2.17
0.540119535193963,1.0,2.18
0.5401212233175189,1.0,2.19
0.5401228842122823,1.0,2.2
0.5401245175777724,1.0,2.21
0.540126125131351,1.0,2.22
0.540127707437418,1.0,2.23
0.5401292644458972,1.0,2.24
0.5401307961815499,1.0,2.25
0.540132304638929,1.0,2.26
0.5401337894295528,1.0,2.27
0.5401352502761314,1.0,2.28
0.540136688659602,1.0,2.29
0.5401381050577633,1.0,2.3
0.540139499413255,1.0,2.31
0.5401408717346587,1.0,2.32
0.5401422237473519,1.0,2.33
0.540143555101219,1.0,2.34
0.5401448655433873,1.0,2.35
0.5401461563531553,1.0,2.36
0.540147427936872,1.0,2.37
0.5401486802349084,1.0,2.38
0.5401499132458104,1.0,2.39
0.5401511284632142,1.0,2.4
0.5401523255744254,1.0,2.41
0.5401535043507589,1.0,2.42
0.5401546658998264,1.0,2.43
0.540155810568584,1.0,2.44
0.5401569382975266,1.0,2.45
0.5401580490797069,1.0,2.46
0.540159144210084,1.0,2.47
0.5401602234105087,1.0,2.48
0.5401612864768132,1.0,2.49
0.5401623343684246,1.0,2.5
0.5401633673828246,1.0,2.51
0.5401643854636153,1.0,2.52
0.5401653886006472,1.0,2.53
0.5401663779182455,1.0,2.54
0.5401673531698725,1.0,2.55
0.5401683141742532,1.0,2.56
0.5401692617641761,1.0,2.57
0.5401701961953947,1.0,2.58
0.5401711174163935,1.0,2.59
0.5401720254151484,1.0,2.6
0.5401729211686842,1.0,2.61
0.5401738044603535,1.0,2.62
0.5401746751300265,1.0,2.63
0.5401755339008288,1.0,2.64
0.540176380993792,1.0,2.65
0.540177216362578,1.0,2.66
0.540178039995395,1.0,2.67
0.5401788527420177,1.0,2.68
0.540179654411878,1.0,2.69
0.5401804448646763,1.0,2.7
0.5401812247296788,1.0,2.71
0.5401819941984062,1.0,2.72
0.5401827532295292,1.0,2.73
0.5401835018123738,1.0,2.74
0.5401842406864023,1.0,2.75
0.5401849696857635,1.0,2.76
0.5401856886875716,1.0,2.77
0.5401863982398165,1.0,2.78
0.5401870985089927,1.0,2.79
0.5401877894593745,1.0,2.8
0.5401884710813317,1.0,2.81
0.5401891440189742,1.0,2.82
0.5401898081281961,1.0,2.83
0.5401904633025271,1.0,2.84
