a_1,m_1,Time
0.5,0.1,0.0
0.5074109626465819,0.1,0.01
0.5147697486341655,0.1,0.02
0.5220690336246593,0.1,0.03
0.5293019498268487,0.1,0.04
0.5364621037200077,0.1,0.05
0.5435435876910336,0.1,0.06
0.5505409860096421,0.1,0.07
0.5574493755657283,0.1,0.08
0.5642643218945173,0.1,0.09
0.5709818710417478,0.1,0.1
0.5775985377931983,0.1,0.11
0.5841112908450292,0.1,0.12
0.5905175354392813,0.1,0.13
0.5968150939707831,0.1,0.14
0.603002185030788,0.1,0.15
0.6090774013508051,0.1,0.16
0.6150396870070673,0.1,0.17
0.6208883142568264,0.1,0.18
0.6266228602837763,0.1,0.19
0.632243184157599,0.1,0.2
0.6377494041857455,0.1,0.21
0.6431418758587913,0.1,0.22
0.6484211705369691,0.1,0.23
0.6535880549832996,0.1,0.24
0.6586434718365554,0.1,0.25
0.6635885210872302,0.1,0.26
0.6684244425871805,0.1,0.27
0.6731525996158559,0.1,0.28
0.6777744635118444,0.1,0.29
0.6822915993541192,0.1,0.3
0.6867056526825922,0.1,0.31
0.691018337213635,0.1,0.32
0.6952314235363471,0.1,0.33
0.6993467287355137,0.1,0.34
0.7033661068996712,0.1,0.35
0.707291440472184,0.1,0.36
0.711124632394527,0.1,0.37
0.7148675989952274,0.1,0.38
0.7185222635776158,0.1,0.39
0.7220905506557797,0.1,0.4
0.7255743807983293,0.1,0.41
0.728975666032181,0.1,0.42
0.732296305759695,0.1,0.43
0.7355381831633045,0.1,0.44
0.7387031620318654,0.1,0.45
0.7417930840055725,0.1,0.46
0.7448097661789441,0.1,0.47
0.7477549990443536,0.1,0.48
0.7506305447344525,0.1,0.49
0.7534381355478138,0.1,0.5
0.7561794727221975,0.1,0.51
0.7588562254346793,0.1,0.52
0.76147003000968,0.1,0.53
0.7640224893065652,0.1,0.54
0.7665151722759636,0.1,0.55
0.7689496136611359,0.1,0.56
0.7713273138344721,0.1,0.57
0.7736497387483258,0.1,0.58
0.7759183199875626,0.1,0.59
0.7781344549234595,0.1,0.6
0.7802995069380604,0.1,0.61
0.7824148057214803,0.1,0.62
0.7844816476366687,0.1,0.63
0.7865012961315082,0.1,0.64
0.7884749821973962,0.1,0.65
0.7904039048673013,0.1,0.66
0.7922892317531103,0.1,0.67
0.7941320995982195,0.1,0.68
0.7959336148616052,0.1,0.69
0.7976948543188405,0.1,0.7
0.7994168656778046,0.1,0.71
0.8011006681994164,0.1,0.72
0.8027472533330308,0.1,0.73
0.8043575853536546,0.1,0.74
